Feature,Importance
LowFreq,0.030421809188119674
FBak15dB  ,0.0301370770325008
EndF,0.03010108343491553
FBak20dB,0.029698452784547896
Fc,0.028647866439151015
FBak5dB,0.026596950150575734
RelPwr2ndTo1st,0.026243785543914076
FreqLedge,0.022952075775167755
FreqMaxPwr,0.02207523527595721
CallDuration,0.019759219898891765
Bndwdth,0.019571633990811674
FreqCtr,0.019377956103357
FFwd32dB,0.018835185407832637
RelPwr3rdTo1st,0.018794548188195936
DurOf32dB,0.018203955236953895
FFwd5dB,0.017979839910902143
KnToFcDur,0.017951223324658084
HiFtoUpprKnExp,0.01686375854498303
HiFtoKnExp,0.016669965030664567
KnToFcExp,0.01653362459715697
DurOf20dB,0.01609700516074938
StartSlope,0.015773592115749916
Bndw32dB,0.015712805208702607
1st10kHzSlp,0.015685690226886373
HiFtoUpprKnSlp,0.01565790020849948
DurOf15dB,0.015097852979413275
1st5to15kHzSlp,0.015022014873906659
Quality,0.0147346780244369
HiFtoKnSlope,0.014677278696655409
LdgToFcExp,0.014020607029612362
HiFtoFcExp,0.013880881618171517
TimeFromMaxToFc,0.013079247075005043
FFwd15dB,0.012572869388020134
SteepestSlope,0.012548112499324944
FreqKnee,0.012422738144517394
PreFc1000,0.011864749922609323
PreFc500,0.011698315544863237
PreFc3000,0.011287343154261222
FFwd20dB,0.011138933470588116
KneeToFcSlope,0.010975670052029842
LowestSlope,0.010960776864582201
EndSlope,0.010733385947407015
KnToFcDmp,0.010607825742166949
Kn-FcCurviness,0.010546862764068654
LdgToFcSlp,0.0105288072050982
DurOf5dB,0.010496723599065635
PreFc250,0.010187759942097845
CummNmlzdSlp,0.010184272300731012
HiFtoFcDmp,0.010175082844190062
SlopeAtFc,0.009916603422437163
AmpVariance,0.009492460372862785
TotalSlope,0.009322707808006198
AmpGausR2,0.009259041708188157
StartF,0.008701536107484574
HiFreq,0.008682232541093248
UpprKnToKnExp,0.008540846981642829
AmpSkew,0.00827597987020034
Bndw15dB,0.008197446348362327
FBak32dB,0.007971630648340737
UpprKnFreq,0.007792808073282334
PreFc3000Residue,0.00754920241719318
KneeToFcResidue,0.0073482728258734255
Bndw20dB,0.007328713195860977
FcMinusEndF,0.00716159893260138
DominantSlope,0.006483654793472055
Kn-FcCurvinessTrndSlp,0.006125086779864899
Bndw5dB,0.006058304136539476
PreFc500Residue,0.00583060923943535
PrcntKneeDur,0.005775709061320313
LedgeDuration,0.005450837684587421
AmpKurtosis,0.0052747200360956014
PreFc1000Residue,0.004462790136796165
PreFc250Residue,0.0038817847341002546
meanKn-FcCurviness,0.0032974060938630516
HiFtoKnDmp,0.002168120839811292
HiFminusStartF,0.001554030566725422
CallsPerSec,0.001352664716325568
1st5to15kHzExp,0.0007230105477821248
1st10kHzExp,0.0002351609171831983
MinAccpQuality,4.641906680999399e-34
MaxSegLngth,0.0
Preemphasis,0.0
Max#CallsConsidered,0.0
